id,source_family,plain_proposition,article_collision,common_sense_or_named_theory,practical_disposition,strict_novelty_status,notes
ICB002-11,attachment/rupture repair,"After breaking an inner-adult promise, explicitly acknowledge the breach, repair what can be repaired, resize the promise, and resume.",none_material,"Rupture-repair is established psychotherapy theory.",high_value_practical,rejected_as_strict,"Major article omission despite non-novelty."
ICB002-12,reliability engineering,"Promises should be sized below demonstrated reliability and expanded only as capacity becomes stable.",direct_partial,"Article already says use one action small enough to repeat and let trust grow through consistency.",already_owned,rejected_internal_collision,"No new article content beyond possible phrasing."
ICB002-13,signal detection/differential diagnosis,"Resistance should not be classified as a protector until at least one non-protector explanation—fatigue, present grievance, values conflict, wrong technique, medication/state effects—has been considered.",partial,"Differential diagnosis is familiar; article already says response may be protector, child, inherited critic, present-day grievance, or blend.",minor_operationalization,rejected_internal_collision,"Could be made more explicit but article already guards against one-category interpretation."
ICB002-14,conditional regard/load testing,"The best load test of an internal Nurturer is how the person treats the child-state immediately after making a mistake, not only when the child is innocent or distressed.",partial,"Self-compassion after failure and unconditional regard are established roots.",retain_practical,rejected_as_strict,"Could become a diagnostic exercise linked to non-withdrawable care."
ICB002-15,post-incident review,"After dysregulation, conduct a non-punitive review of trigger, failed adult function, protector action, and environment change.",partial,"DBT chain analysis / relapse review / safety incident review are familiar.",retain_practical,rejected_as_strict,"Potential compact practice; not originality material."
ICB002-16,ambiguity/parts work,"Do not force one authentic child preference when simultaneous opposing wants are present; preserve ambivalence and test it in life.",partial,"Parts/polarization and ambivalence work are standard.",retain_if_needed,rejected_as_strict,"Article already acknowledges blends and polarized positions indirectly."
ICB002-17,measurement/identity,"A felt preference gains credibility when it recurs across different social contexts and states; one intense felt sense can be important without having monopoly authority.",none_material,"Cross-context reliability/construct validity is familiar.",retain_practical,rejected_as_strict,"Preserves owner's modal felt-sense claim while offering an additive identity-development check."
ICB002-18,distributed systems/helper risk,"Borrowed adulthood is safer when modeling and support are not concentrated in one person whose loss or disapproval could remove Nurturer, Protector, and Guide simultaneously.",partial,"Dependency/concentration risk is familiar; article already says borrowing should stay narrow and one helper should not gain broad authority.",retain_narrow_operationalization,rejected_as_strict,"Possible practical addition: diversify models/functions, but broad claim is already implied."
ICB002-19,transfer learning,"After receiving a function from a helper, rehearse the same function alone later and in a different context before calling it internalized.",partial,"Article already says name what was received and do one piece yourself; context variation is established learning theory.",retain_practical,rejected_as_strict,"Useful operationalization of transfer."
ICB002-20,minimal viable control,"When adult capacity collapses, preserve a minimum floor of no self-attack plus one concrete safety action rather than attempting the whole method.",direct,"Article already gives witness/non-cruelty and Protector-first versions.",already_owned,rejected_internal_collision,"No additive residual."
